Date, Open, High, Low, Close, TotalVolume, UnAdjustedClose
1998-10-21,71.70796656,72.21118036,71.03701483,71.54022863,   91784,106.62500000
1998-10-22,71.64506484,72.77729589,71.22572000,72.60955795,   82775,108.21875000
1998-10-23,72.44182002,72.46278726,71.64506484,71.68699932,   62372,106.84375000
1998-10-26,72.27408209,72.77729589,71.64506484,72.21118036,   58386,107.62500000
1998-10-27,72.75632865,73.11277175,71.30958897,71.79183553,  100897,107.00000000
1998-10-28,71.49829414,72.14827864,71.14185104,71.66603208,   56506,106.81250000
1998-10-29,71.85473725,73.42728038,71.54022863,73.40631314,   96256,109.40625000
1998-10-30,73.88855970,74.41274074,73.46921486,73.80469073,   98728,110.00000000
1998-11-02,74.34983901,75.06272523,73.93049418,75.06272523,   65014,111.87500000
1998-11-03,74.87402006,75.02079075,74.30790453,74.51757695,   68660,111.06250000
1998-11-04,75.46110282,75.88044766,74.53854419,75.31433213,   82336,112.25000000
1998-11-05,74.83208557,76.44656318,74.55951143,76.34172697,   68415,113.78125000
1998-11-06,76.13205456,76.86590802,76.02721835,76.57236663,   52248,114.12500000
1998-11-09,76.44656318,76.65623560,75.48207006,76.02721835,   61887,113.31250000
1998-11-10,75.81754593,76.44656318,75.31433213,75.81754593,  140152,113.00000000
1998-11-11,76.36269422,76.48849767,75.07320885,75.31433213,  109224,112.25000000
1998-11-12,75.35626661,75.90141490,74.93692178,75.23046316,   54574,112.12500000
1998-11-13,75.29336489,75.96431662,75.23046316,75.96431662,   55246,113.21875000
1998-11-16,76.63526836,76.72962094,75.74416059,76.53043215,   60237,114.06250000
1998-11-17,76.25785801,77.57879423,75.81754593,76.53043215,   90589,114.06250000
1998-11-18,76.69817008,77.15944940,76.15302180,76.99171147,   45677,114.75000000
1998-11-19,77.34815457,77.76749941,76.90784250,77.66266320,   52493,115.75000000
1998-11-20,78.07152441,78.33361493,77.72556492,78.24974597,   55620,116.62500000
1998-11-23,78.81586149,80.26260117,78.60618908,80.09486324,   71513,119.37500000
1998-11-24,79.84325633,80.28356841,79.47632961,79.59164943,   53237,118.62500000
1998-11-25,79.80132185,79.96905978,79.31907529,79.59164943,   43935,118.62500000
1998-11-27,80.15776496,80.32550289,79.85373996,80.17873220,   45579,119.50000000
1998-11-30,79.85373996,80.09486324,77.91427010,77.91427010,   87054,116.12500000
1998-12-01,77.91427010,79.19327184,77.30622009,78.92069770,   89506,117.62500000
1998-12-02,78.64812356,79.10940288,77.83040113,78.69005804,   74955,117.28125000
1998-12-03,78.66909080,79.38197702,77.22235112,77.39008906,  121453,115.34375000
1998-12-04,78.24974597,79.50778047,78.16587700,79.42391150,  103395,118.37500000
1998-12-07,79.21423908,80.15776496,79.17230460,79.80132185,   42900,118.93750000
1998-12-08,79.52874771,80.34647014,78.83682873,79.44487874,  101026,118.40625000
1998-12-09,79.63358392,79.82228909,79.08843563,79.59164943,   53279,118.62500000
1998-12-10,79.73842013,79.73842013,78.31264769,78.42796752,   59666,116.89062500
1998-12-11,78.12394252,78.73199253,77.53685975,78.58522183,   81982,117.12500000
1998-12-14,77.93523734,78.10297528,76.32075973,76.32075973,   95214,113.75000000
1998-12-15,76.94977698,78.33361493,76.84494077,78.29168045,   96315,116.68750000
1998-12-16,78.58522183,78.58522183,77.66266320,78.18684424,   72600,116.53125000
1998-12-17,78.64812356,79.57068219,78.52232011,79.43439512,   69147,118.39062500
1998-12-18,79.64568971,80.19264902,79.35117316,79.77191109,   48024,118.50000000
1998-12-21,80.27679660,81.68626866,80.10850143,80.88686660,   85807,120.15625000
1998-12-22,81.05516177,81.60212107,80.23472281,81.24449383,   54611,120.68750000
1998-12-23,81.58108418,82.94848244,81.32864142,82.94848244,   77910,123.21875000
